name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"257,035,000,000","267,261,000,000","258,537,000,000","256,540,000,000","257,808,000,000","237,951,000,000","224,925,000,000","208,527,000,000","202,026,000,000","190,554,000,000","178,348,000,000","164,687,000,000","194,850,000,000","218,328,000,000","279,264,000,000","278,554,000,000","269,476,000,000","292,654,000,000","315,920,000,000","289,357,000,000","276,543,000,000","284,421,000,000","276,229,000,000","237,545,000,000","279,097,000,000","262,867,000,000","243,283,000,000","219,354,000,000","198,938,000,000","180,545,200,000","174,429,400,000","173,662,700,000","160,893,300,000","143,366,500,000","44,955,700,000","37,933,000,000","31,603,600,000"
	CurrentAssets,"108,996,000,000","116,744,000,000","114,047,000,000","114,649,000,000","115,902,000,000","108,461,000,000","145,470,000,000","131,835,000,000","131,585,000,000","125,643,000,000","120,208,000,000","118,945,000,000","150,131,000,000","173,465,000,000","212,090,000,000","182,835,000,000","200,142,000,000","210,156,000,000","172,168,000,000","194,269,000,000","36,260,000,000","39,310,000,000","45,679,000,000","39,860,000,000","38,465,000,000","35,883,000,000","29,971,000,000","28,602,000,000","22,482,000,000","131,162,300,000","26,249,900,000","28,984,300,000","127,450,800,000","118,888,600,000","21,981,500,000","18,458,000,000","14,014,200,000"
		CashCashEquivalentsAndShortTermInvestments,"49,593,000,000","49,961,000,000","34,651,000,000","33,951,000,000","38,927,000,000","38,827,000,000","35,176,000,000","31,150,000,000","36,568,000,000","35,943,000,000","35,766,000,000","35,570,000,000","60,098,000,000","65,198,000,000","73,786,000,000","55,622,000,000","42,543,000,000","34,076,000,000","39,309,000,000","30,521,000,000","18,167,000,000","17,967,000,000","25,173,000,000","24,956,000,000","22,453,000,000","19,103,000,000","15,096,000,000","13,822,000,000","8,222,000,000","6,686,100,000","8,133,200,000","6,767,800,000","5,421,300,000","6,724,900,000","10,097,000,000","8,553,100,000","5,903,800,000"
			CashAndCashEquivalents,"20,540,000,000","25,243,000,000","17,504,000,000","16,718,000,000","18,492,000,000","15,905,000,000","14,272,000,000","10,757,000,000","14,468,000,000","15,659,000,000","17,148,000,000","14,805,000,000","21,441,000,000","22,049,000,000","35,283,000,000","28,894,000,000","31,499,000,000","23,511,000,000","21,770,000,000","12,250,000,000","7,218,000,000","4,851,000,000","6,230,000,000","4,836,000,000","7,934,000,000","7,267,000,000","8,440,000,000","6,220,000,000","8,222,000,000","6,686,100,000","8,133,200,000","6,767,800,000","5,421,300,000","6,724,900,000","10,097,000,000","8,553,100,000","5,903,800,000"
				CashFinancial,"15,105,000,000","14,666,000,000","14,662,000,000","14,497,000,000","16,063,000,000","13,651,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"5,435,000,000","10,577,000,000","2,842,000,000","2,221,000,000","2,429,000,000","2,254,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"29,053,000,000","24,718,000,000","17,147,000,000","17,233,000,000","20,435,000,000","22,922,000,000","20,904,000,000","20,393,000,000","22,100,000,000","20,284,000,000","18,618,000,000","20,765,000,000","38,657,000,000","43,149,000,000","38,503,000,000","26,728,000,000","11,044,000,000","10,565,000,000","17,539,000,000","18,271,000,000","10,949,000,000","13,116,000,000","18,943,000,000","20,120,000,000","14,519,000,000","11,836,000,000","6,656,000,000","7,602,000,000",,,,,,,,,
		Receivables,"43,913,000,000","52,394,000,000","62,888,000,000","65,548,000,000","62,809,000,000","57,368,000,000","101,975,000,000","92,819,000,000","87,309,000,000","82,338,000,000","78,541,000,000","77,458,000,000","84,583,000,000","99,649,000,000","128,183,000,000","115,635,000,000","114,497,000,000","116,720,000,000","113,614,000,000","99,095,000,000","3,152,000,000","6,272,000,000","6,073,000,000","2,604,000,000","3,513,000,000","3,635,000,000","3,521,000,000","3,225,000,000","3,136,000,000","110,395,700,000","3,242,700,000","3,537,000,000","106,782,800,000","95,686,600,000","4,401,600,000","3,487,800,000","2,851,900,000"
			AccountsReceivable,"43,913,000,000","52,394,000,000","62,888,000,000","65,548,000,000","62,809,000,000","57,368,000,000","90,691,000,000","81,111,000,000","77,481,000,000","71,510,000,000","78,541,000,000","77,458,000,000","84,583,000,000","99,649,000,000","117,263,000,000","106,863,000,000",,"5,971,000,000","2,721,000,000","2,065,000,000","2,214,000,000",,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"44,243,000,000","52,478,000,000","62,951,000,000","65,642,000,000","62,809,000,000","57,760,000,000","90,691,000,000","81,111,000,000","77,481,000,000","71,510,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
