name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
OperatingCashFlow,"15,787,000,000","15,787,000,000","24,269,000,000","17,639,000,000","15,022,000,000","18,096,000,000","19,792,000,000","16,170,000,000","14,507,000,000","10,444,000,000","9,045,000,000","9,784,000,000","11,477,000,000","16,042,000,000","-179,000,000","17,100,000,000","9,611,000,000","21,679,000,000","24,514,000,000","20,195,000,000","18,633,000,000","22,764,000,000","33,764,000,000","29,811,000,000","23,100,000,000","27,634,000,000","19,257,000,000","21,171,000,000","16,629,000,000","14,007,000,000","11,515,700,000","8,120,400,000","7,413,800,000","9,524,500,000","10,434,100,000"
	CashFlowFromContinuingOperatingActivities,"15,787,000,000","15,787,000,000","24,269,000,000","17,639,000,000","15,022,000,000","18,096,000,000","19,792,000,000","16,170,000,000","14,507,000,000","10,444,000,000","9,045,000,000","9,784,000,000","11,477,000,000","16,042,000,000","-179,000,000","17,074,000,000","9,611,000,000","21,674,000,000","24,514,000,000","20,195,000,000","18,633,000,000","22,764,000,000","33,764,000,000","29,811,000,000","23,100,000,000","27,634,000,000","19,257,000,000","21,171,000,000","16,629,000,000","14,007,000,000","11,515,700,000","8,120,400,000","7,413,800,000","9,524,500,000","10,434,100,000"
		NetIncomeFromContinuingOperations,"17,910,000,000","17,910,000,000","-1,276,000,000","84,000,000","3,695,000,000","7,628,000,000","4,607,000,000","7,371,000,000","3,186,000,000","7,155,000,000","5,665,000,000","20,213,000,000","6,561,000,000","2,717,000,000","-14,672,000,000",,"-12,613,000,000","2,228,000,000","3,634,000,000","921,000,000","284,000,000","-5,453,000,000","5,410,000,000","7,237,000,000","22,071,000,000","6,920,000,000","4,446,000,000","4,139,000,000","5,308,000,000","2,529,000,000","-501,800,000","-2,258,000,000","860,100,000","3,835,000,000","5,300,200,000"
		OperatingGainsLosses,"-12,158,000,000","-12,158,000,000","-2,839,000,000","2,745,000,000","1,093,000,000","-778,000,000","2,633,000,000","846,000,000","3,061,000,000","-359,000,000","-800,000,000","-417,000,000","343,000,000","-4,801,000,000","-1,382,000,000",,"101,000,000","6,720,000,000","1,351,000,000","2,688,000,000","-2,236,000,000","4,304,000,000","45,000,000","304,000,000","-16,083,000,000","-170,000,000","-466,000,000","134,000,000","-557,000,000",,"1,862,000,000",,"3,779,600,000","-346,600,000","2,676,300,000"
			GainLossOnSaleOfBusiness,,,,,"-42,000,000","-7,000,000",,,,"0","-593,000,000","-421,000,000","18,000,000","33,000,000","522,000,000",,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"532,000,000","532,000,000","-420,000,000","-54,000,000","529,000,000","-403,000,000","283,000,000","710,000,000","825,000,000","228,000,000","-116,000,000","-37,000,000","-348,000,000","75,000,000","-484,000,000",,,,,,,,"-58,000,000","316,000,000","-208,000,000","-27,000,000","156,000,000","-64,000,000","-384,000,000",,,,,,
			GainLossOnInvestmentSecurities,"-9,159,000,000","-9,159,000,000",,,,,,,,"-190,000,000","-105,000,000","82,000,000","-83,000,000","-410,000,000","1,375,000,000",,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-368,000,000","-368,000,000","-3,446,000,000","174,000,000","164,000,000","233,000,000","-317,000,000","-375,000,000","987,000,000","-416,000,000","0","-169,000,000","-198,000,000","-6,000,000","60,000,000",,,,,,,,"103,000,000","-12,000,000","-15,875,000,000","126,000,000","28,000,000","198,000,000","-173,000,000",,,,,,
			PensionAndEmployeeBenefitExpense,"-4,865,000,000","-4,865,000,000","1,027,000,000","2,625,000,000","400,000,000","-608,000,000","2,667,000,000","511,000,000","1,249,000,000",,"0","0","-29,000,000","244,000,000","-2,714,000,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,960,000,000","5,960,000,000","7,457,000,000","8,490,000,000","8,308,000,000","8,453,000,000","8,717,000,000","7,966,000,000","7,423,000,000","6,456,000,000","5,204,000,000","4,256,000,000","5,584,000,000","6,931,000,000","12,925,000,000",,"16,519,000,000","6,722,000,000","13,052,000,000","14,297,000,000","15,177,000,000","19,750,000,000","14,849,000,000","15,193,000,000","14,329,000,000","13,583,000,000","12,791,000,000","11,719,000,000","9,336,000,000","3,064,000,000","6,755,700,000","5,778,300,000","3,184,900,000","4,228,700,000","2,457,600,000"
