name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"136,341,000,000","136,341,000,000","127,144,000,000","155,900,000,000","160,338,000,000","156,776,000,000","151,800,000,000","149,558,000,000","144,077,000,000","146,917,000,000","134,252,000,000","136,264,000,000","128,954,000,000","118,308,000,000","146,277,000,000","172,455,000,000","160,123,000,000","177,089,000,000","171,652,000,000","164,196,000,000","163,420,000,000","162,412,000,000","170,064,000,000","162,558,000,000","144,416,000,000","153,627,000,000","146,991,000,000","137,137,000,000","128,439,000,000","108,521,000,000","100,132,300,000","88,286,300,000","97,650,000,000","96,145,900,000","92,445,600,000","71,643,400,000","62,715,800,000","52,774,400,000"
	OperatingRevenue,"136,341,000,000","136,341,000,000","127,144,000,000","155,900,000,000","160,338,000,000","156,766,000,000","151,799,000,000","149,558,000,000","144,077,000,000","146,917,000,000","134,252,000,000","136,264,000,000","128,954,000,000","118,308,000,000","146,277,000,000","172,455,000,000","160,123,000,000","177,089,000,000","171,652,000,000","164,196,000,000","163,420,000,000","162,412,000,000","170,064,000,000","162,558,000,000","144,416,000,000","153,627,000,000","146,991,000,000","137,137,000,000","128,439,000,000","108,521,000,000","100,132,300,000","88,286,300,000","97,650,000,000","96,145,900,000","92,445,600,000","71,643,400,000","62,715,800,000","52,774,400,000"
CostOfRevenue,"114,651,000,000","114,651,000,000","112,752,000,000","134,693,000,000","136,269,000,000","131,332,000,000","126,584,000,000","126,495,000,000","126,215,000,000","128,094,000,000","115,693,000,000","113,345,000,000","104,451,000,000","100,016,000,000","127,103,000,000","142,587,000,000","148,869,000,000","144,944,000,000","135,856,000,000","129,821,000,000","125,137,000,000","134,892,000,000","135,639,000,000","126,725,000,000","112,818,000,000","118,619,000,000","118,586,000,000","110,595,000,000","103,203,000,000","88,364,000,000","80,025,900,000","70,371,300,000","78,004,100,000","72,615,700,000","68,233,300,000","58,495,100,000","51,866,200,000","44,435,400,000"
GrossProfit,"21,690,000,000","21,690,000,000","14,392,000,000","21,207,000,000","24,069,000,000","25,444,000,000","25,216,000,000","23,063,000,000","17,862,000,000","18,823,000,000","18,559,000,000","22,919,000,000","24,503,000,000","18,292,000,000","19,174,000,000","29,868,000,000","11,254,000,000","32,145,000,000","35,796,000,000","34,375,000,000","38,283,000,000","27,520,000,000","34,425,000,000","35,833,000,000","31,598,000,000","35,008,000,000","28,405,000,000","26,542,000,000","25,236,000,000","20,157,000,000","20,106,400,000","17,915,000,000","19,645,900,000","23,530,200,000","24,212,300,000","13,148,300,000","10,849,600,000","8,339,000,000"
OperatingExpense,"11,915,000,000","11,915,000,000","10,193,000,000","11,161,000,000","11,403,000,000","11,527,000,000","12,196,000,000","15,416,000,000","14,422,000,000","13,384,000,000","12,268,000,000","11,578,000,000","11,909,000,000","13,258,000,000","21,430,000,000","21,169,000,000","19,180,000,000","24,652,000,000","25,115,000,000","26,259,000,000","28,426,000,000","35,088,000,000","19,292,000,000","18,802,000,000","16,205,000,000","14,727,000,000","13,500,000,000","12,544,000,000","10,041,000,000","9,555,000,000","12,985,300,000","11,930,900,000","9,105,800,000","9,550,100,000","10,764,800,000","6,947,100,000","6,793,100,000","5,609,300,000"
	SellingGeneralAndAdministration,"11,915,000,000","11,915,000,000","10,193,000,000","11,161,000,000","11,403,000,000","11,527,000,000","12,196,000,000","14,999,000,000","14,117,000,000","13,176,000,000","12,182,000,000","11,578,000,000","11,909,000,000","13,258,000,000","21,430,000,000","21,169,000,000","19,180,000,000","24,652,000,000","25,115,000,000","17,480,000,000","28,426,000,000","13,602,000,000","9,884,000,000","9,548,000,000","7,616,000,000","7,082,000,000","6,625,000,000","6,044,000,000","5,131,000,000","6,491,000,000","6,229,600,000","6,152,600,000","5,920,900,000","5,321,400,000","8,307,200,000","3,779,700,000","3,833,500,000","3,216,500,000"
		GeneralAndAdministrativeExpense,,,,,,"11,527,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,"11,527,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,"8,779,000,000",,"10,564,000,000","9,408,000,000","9,254,000,000","8,589,000,000","7,645,000,000","6,875,000,000","6,500,000,000","4,910,000,000","3,064,000,000","6,755,700,000","5,778,300,000","3,184,900,000","4,228,700,000","2,457,600,000","3,167,400,000","2,959,600,000","2,392,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,"8,779,000,000",,"10,564,000,000","9,408,000,000","9,254,000,000","8,589,000,000","7,645,000,000","6,875,000,000","6,500,000,000","4,910,000,000","3,064,000,000","6,755,700,000","5,778,300,000","3,184,900,000","4,228,700,000","2,457,600,000","3,167,400,000","2,959,600,000","2,392,800,000"
