name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"244,718,000,000","235,194,000,000","228,037,000,000","227,339,000,000","212,482,000,000","221,690,000,000","194,520,000,000","177,677,000,000","166,344,000,000","149,422,000,000","144,603,000,000","138,898,000,000","136,295,000,000","91,039,000,000"
	CurrentAssets,"82,103,000,000","80,924,000,000","74,992,000,000","75,293,000,000","68,744,000,000","76,203,000,000","78,007,000,000","83,670,000,000","81,501,000,000","69,996,000,000","60,247,000,000","53,053,000,000","59,247,000,000","44,267,000,000"
		CashCashEquivalentsAndShortTermInvestments,"28,676,000,000","29,038,000,000","23,243,000,000","26,810,000,000","23,825,000,000","24,801,000,000","23,401,000,000","28,176,000,000","28,993,000,000","27,410,000,000","31,647,000,000","26,616,000,000","22,813,000,000","14,194,000,000"
			CashAndCashEquivalents,"20,067,000,000","19,992,000,000","19,069,000,000","20,844,000,000","15,512,000,000","12,960,000,000","15,238,000,000","18,954,000,000","20,021,000,000","18,422,000,000","15,499,000,000","21,061,000,000","22,679,000,000","14,053,000,000"
				CashFinancial,"7,881,000,000","8,010,000,000",,,,,,,,,,,,
				CashEquivalents,"12,186,000,000","11,982,000,000",,,,,,,,,,,,
			OtherShortTermInvestments,"8,609,000,000","9,046,000,000","4,174,000,000","5,966,000,000","8,313,000,000","11,841,000,000","8,163,000,000","9,222,000,000","8,972,000,000","8,988,000,000","16,148,000,000","5,555,000,000","134,000,000","141,000,000"
		Receivables,"34,043,000,000","34,244,000,000","33,398,000,000","33,399,000,000","28,685,000,000","31,703,000,000","26,388,000,000","25,606,000,000","22,813,000,000","14,439,000,000","9,949,000,000","8,699,000,000","7,518,000,000","7,918,000,000"
			AccountsReceivable,"34,043,000,000","34,244,000,000","33,398,000,000","33,399,000,000","28,685,000,000","31,703,000,000","26,388,000,000","25,606,000,000","22,813,000,000","14,439,000,000","9,949,000,000","8,699,000,000","7,768,000,000","8,340,000,000"
				GrossAccountsReceivable,"34,938,000,000","34,468,000,000","33,599,000,000","33,610,000,000","28,963,000,000","32,006,000,000","26,715,000,000","25,946,000,000","23,157,000,000","14,750,000,000","10,280,000,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-895,000,000","-224,000,000","-201,000,000","-211,000,000","-278,000,000","-303,000,000","-327,000,000","-340,000,000","-344,000,000","-311,000,000","-331,000,000",,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,"-250,000,000","-422,000,000"
		Inventory,"12,988,000,000","10,235,000,000","10,398,000,000","9,816,000,000","10,663,000,000","13,788,000,000","13,764,000,000","13,642,000,000","14,039,000,000","14,714,000,000","14,324,000,000","12,125,000,000","10,107,000,000","13,195,000,000"
			RawMaterials,"8,240,000,000","5,117,000,000","4,713,000,000","4,274,000,000","4,203,000,000","5,643,000,000","5,147,000,000","5,380,000,000","5,872,000,000","6,560,000,000",,,"4,201,000,000","4,849,000,000"
			WorkInProcess,,,,,,,,,,,"6,486,000,000","5,487,000,000",,
			FinishedGoods,"4,748,000,000","5,118,000,000","5,685,000,000","5,542,000,000","6,460,000,000","8,145,000,000","8,617,000,000","8,262,000,000","8,167,000,000","8,154,000,000","7,838,000,000","6,638,000,000","5,906,000,000","9,579,000,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,"0","-1,233,000,000"
		RestrictedCash,,,,,,,"1,590,000,000","1,338,000,000","1,247,000,000","686,000,000","206,000,000","1,240,000,000","13,917,000,000","672,000,000"
		CurrentDeferredAssets,,,,,,,"8,599,000,000","9,760,000,000","10,349,000,000","9,429,000,000","1,657,000,000","1,805,000,000","1,777,000,000","3,146,000,000"
			CurrentDeferredTaxesAssets,,,,,,,"8,599,000,000","9,760,000,000","10,349,000,000","9,429,000,000","1,657,000,000","1,805,000,000","1,777,000,000","3,146,000,000"
		AssetsHeldForSaleCurrent,,,,,"0",,,,,,,"0",,
		OtherCurrentAssets,"6,396,000,000","7,407,000,000","7,953,000,000","5,268,000,000","5,571,000,000","5,911,000,000","4,265,000,000","5,148,000,000","4,060,000,000","3,318,000,000","2,464,000,000","2,568,000,000","3,115,000,000","5,142,000,000"
	TotalNonCurrentAssets,"162,615,000,000","154,270,000,000","153,045,000,000","152,046,000,000","143,738,000,000","145,487,000,000","116,513,000,000","94,007,000,000","84,843,000,000","79,426,000,000","84,356,000,000","85,845,000,000","77,048,000,000","46,772,000,000"
		NetPPE,"79,044,000,000","77,451,000,000","80,805,000,000","82,317,000,000","79,135,000,000","70,346,000,000","51,401,000,000","34,803,000,000","29,250,000,000","25,845,000,000","22,957,000,000","19,235,000,000","18,687,000,000","39,665,000,000"
			GrossPPE,"119,824,000,000","105,274,000,000","109,504,000,000","109,042,000,000","103,216,000,000","88,309,000,000","63,750,000,000","44,078,000,000","36,679,000,000","31,662,000,000","27,558,000,000","22,512,000,000","19,972,000,000","83,377,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","5,171,000,000","4,743,000,000","10,774,000,000"
				LandAndImprovements,"1,301,000,000","1,339,000,000","1,302,000,000","1,349,000,000","1,647,000,000","1,645,000,000","1,636,000,000","1,695,000,000","1,868,000,000","2,107,000,000","2,496,000,000","2,536,000,000","2,602,000,000","1,162,000,000"
				BuildingsAndImprovements,"10,542,000,000","9,671,000,000","9,705,000,000","9,173,000,000","7,471,000,000","6,655,000,000","5,562,000,000","5,236,000,000","4,971,000,000","4,601,000,000","4,670,000,000","4,324,000,000","4,292,000,000","18,974,000,000"
				MachineryFurnitureEquipment,"31,444,000,000","30,013,000,000","71,869,000,000","70,012,000,000","66,797,000,000","63,730,000,000","42,343,000,000","25,056,000,000","19,247,000,000","14,630,000,000","17,324,000,000","8,727,000,000","6,686,000,000","49,529,000,000"
				OtherProperties,"71,142,000,000","60,670,000,000","23,586,000,000","23,828,000,000","21,113,000,000","10,932,000,000","9,576,000,000","7,977,000,000","7,949,000,000","7,306,000,000",,,,
				ConstructionInProgress,"5,395,000,000","3,581,000,000","3,042,000,000","4,680,000,000","6,188,000,000","5,347,000,000","4,633,000,000","4,114,000,000","2,644,000,000","3,018,000,000","3,068,000,000","1,754,000,000","1,649,000,000","2,938,000,000"
			AccumulatedDepreciation,"-40,780,000,000","-27,823,000,000","-28,699,000,000","-26,725,000,000","-24,081,000,000","-17,963,000,000","-12,349,000,000","-9,275,000,000","-7,429,000,000","-5,817,000,000","-4,601,000,000","-3,277,000,000","-1,285,000,000","-43,712,000,000"
		GoodwillAndOtherIntangibleAssets,"5,087,000,000","5,230,000,000","5,337,000,000","5,579,000,000","5,849,000,000","6,259,000,000","5,947,000,000","6,410,000,000","7,228,000,000","8,782,000,000","39,032,000,000","43,660,000,000","45,219,000,000","265,000,000"
			Goodwill,"1,914,000,000","1,910,000,000","1,859,000,000","1,861,000,000","1,857,000,000","1,868,000,000","1,371,000,000","1,427,000,000","1,560,000,000","1,973,000,000","29,019,000,000","31,778,000,000","30,672,000,000","0"
			OtherIntangibleAssets,"3,173,000,000","3,320,000,000","3,478,000,000","3,718,000,000","3,992,000,000","4,391,000,000","4,576,000,000","4,983,000,000","5,668,000,000","6,809,000,000","10,013,000,000","11,882,000,000","14,547,000,000","265,000,000"
		InvestmentsAndAdvances,"9,677,000,000","8,406,000,000","8,562,000,000","9,215,000,000","9,073,000,000","8,996,000,000","9,201,000,000","8,350,000,000","8,094,000,000","6,883,000,000","6,790,000,000","8,529,000,000","9,425,000,000","4,063,000,000"
			LongTermEquityInvestment,"9,677,000,000","8,406,000,000","8,562,000,000","9,215,000,000","9,073,000,000","8,996,000,000","9,201,000,000","8,350,000,000","8,094,000,000","6,883,000,000","6,790,000,000","8,529,000,000",,
