name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
OperatingCashFlow,"16,026,000,000","15,188,000,000","16,670,000,000","15,021,000,000","15,256,000,000","17,328,000,000","16,545,000,000","11,978,000,000","10,058,000,000","12,630,000,000","10,605,000,000","8,166,000,000","6,780,000,000","-17,239,000,000","-12,065,000,000"
	CashFlowFromContinuingOperatingActivities,"16,024,000,000","15,188,000,000","16,670,000,000","15,021,000,000","15,256,000,000","17,338,000,000","16,545,000,000","11,978,000,000","10,058,000,000","12,630,000,000","10,605,000,000","8,166,000,000","6,780,000,000","-17,239,000,000","-12,065,000,000"
		NetIncomeFromContinuingOperations,"9,738,000,000","9,945,000,000","6,321,000,000","6,667,000,000","8,075,000,000","330,000,000","9,268,000,000","9,615,000,000","4,018,000,000","5,331,000,000","6,136,000,000","9,287,000,000","6,503,000,000","105,217,000,000","-31,051,000,000"
		OperatingGainsLosses,"-1,838,000,000","-2,139,000,000","-38,000,000","16,000,000","-1,253,000,000","-1,014,000,000","-210,000,000","554,000,000","373,000,000","1,108,000,000","3,363,000,000","-4,933,000,000","-6,051,000,000","-130,931,000,000","3,795,000,000"
			NetForeignCurrencyExchangeGainLoss,"112,000,000","-17,000,000","203,000,000","-85,000,000","168,000,000","52,000,000","358,000,000","829,000,000","437,000,000","350,000,000","117,000,000","56,000,000","209,000,000",,
			GainLossOnInvestmentSecurities,,,,,,,,,,,"-57,000,000",,,,
			EarningsLossesFromEquityInvestments,"-442,000,000","-517,000,000","524,000,000","585,000,000","-141,000,000","-132,000,000","-15,000,000","-147,000,000","-301,000,000","-92,000,000","-179,000,000",,"-753,000,000",,
			PensionAndEmployeeBenefitExpense,"-1,508,000,000","-1,605,000,000","-765,000,000","-484,000,000","-1,280,000,000","-934,000,000","-553,000,000","321,000,000","439,000,000","638,000,000","3,232,000,000","-3,024,000,000","-5,311,000,000","-1,499,000,000","3,795,000,000"
		DepreciationAmortizationDepletion,"11,927,000,000","12,051,000,000","12,815,000,000","14,118,000,000","13,669,000,000","12,261,000,000","10,408,000,000","8,017,000,000","7,238,000,000","8,041,000,000","38,762,000,000","7,344,000,000","6,923,000,000","15,151,000,000","10,203,000,000"
			DepreciationAndAmortization,"11,927,000,000","12,051,000,000","12,815,000,000","14,118,000,000","13,669,000,000","12,261,000,000","10,408,000,000","8,017,000,000","7,238,000,000","8,041,000,000","38,762,000,000","7,344,000,000","6,923,000,000","15,151,000,000","10,203,000,000"
				Depreciation,"11,927,000,000","12,051,000,000","12,815,000,000","14,118,000,000","13,669,000,000","12,261,000,000","10,408,000,000","8,017,000,000","7,238,000,000","8,041,000,000","38,762,000,000","7,344,000,000","6,923,000,000","11,114,000,000","10,014,000,000"
				AmortizationCashFlow,,,,,,,,,,,,,,"4,037,000,000","189,000,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,"4,037,000,000","189,000,000"
		DeferredTax,"1,048,000,000","2,214,000,000","925,000,000","-133,000,000","-112,000,000","10,880,000,000","1,886,000,000","-2,757,000,000","-574,000,000","1,561,000,000","-35,561,000,000","-311,000,000","242,000,000","-2,027,000,000","1,163,000,000"
			DeferredIncomeTax,"1,048,000,000","2,214,000,000","925,000,000","-133,000,000","-112,000,000","10,880,000,000","1,886,000,000","-2,757,000,000","-574,000,000","1,561,000,000","-35,561,000,000","-311,000,000","242,000,000","-2,027,000,000","1,163,000,000"
