name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"130,509,000,000","127,004,000,000","122,485,000,000","137,237,000,000","147,049,000,000","145,588,000,000","166,380,000,000","152,356,000,000","155,929,000,000","155,427,000,000","152,256,000,000","150,276,000,000","135,592,000,000","104,589,000,000","148,979,000,000"
	OperatingRevenue,"130,509,000,000","127,004,000,000","122,485,000,000","137,237,000,000","147,049,000,000","145,588,000,000","166,380,000,000","152,356,000,000","155,929,000,000","155,427,000,000","152,256,000,000","150,276,000,000","135,592,000,000","104,589,000,000","148,979,000,000"
CostOfRevenue,"113,011,000,000","109,126,000,000","108,813,000,000","123,265,000,000","132,954,000,000","125,997,000,000","145,125,000,000","134,054,000,000","142,121,000,000","137,373,000,000","141,443,000,000","131,171,000,000","118,792,000,000","112,195,000,000","149,257,000,000"
GrossProfit,"17,498,000,000","17,878,000,000","13,672,000,000","13,972,000,000","14,095,000,000","19,591,000,000","21,255,000,000","18,302,000,000","13,808,000,000","18,054,000,000","10,813,000,000","19,105,000,000","16,800,000,000","-7,606,000,000","-278,000,000"
OperatingExpense,"9,255,000,000","8,554,000,000","7,038,000,000","8,491,000,000","9,650,000,000","9,575,000,000","11,710,000,000","13,405,000,000","12,158,000,000","12,382,000,000","14,031,000,000","12,163,000,000","11,716,000,000","13,329,000,000","20,342,000,000"
	SellingGeneralAndAdministration,,"8,554,000,000","7,038,000,000","8,491,000,000","9,650,000,000","9,575,000,000","11,710,000,000","13,405,000,000","12,158,000,000","12,382,000,000","13,593,000,000","12,163,000,000","11,716,000,000","12,167,000,000","14,253,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,"12,167,000,000","14,253,000,000"
			SalariesAndWages,,,,,,,,,,,,,,"0","0"
			OtherGandA,,,,,,,,,,,,,,"12,167,000,000","14,253,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,"190,000,000","749,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,"190,000,000","749,000,000"
	OtherOperatingExpenses,,,,,"12,298,000,000","11,128,000,000","8,792,000,000","5,733,000,000","4,039,000,000","2,448,000,000","438,000,000",,,"972,000,000","5,340,000,000"
OperatingIncome,"8,243,000,000","9,324,000,000","6,634,000,000","5,481,000,000","4,445,000,000","10,016,000,000","9,545,000,000","4,897,000,000","1,650,000,000","5,672,000,000","-3,218,000,000","6,942,000,000","5,084,000,000","-20,935,000,000","-20,620,000,000"
NetNonOperatingInterestIncomeExpense,"-1,062,000,000","-804,000,000","-857,000,000","-353,000,000","-320,000,000","-285,000,000","-387,000,000","-274,000,000","-192,000,000","-88,000,000","-146,000,000","311,000,000","457,000,000","-4,830,000,000","-2,101,000,000"
	InterestIncomeNonOperating,"-136,000,000","146,000,000","241,000,000","429,000,000","335,000,000","290,000,000","185,000,000","169,000,000","211,000,000","246,000,000","343,000,000","851,000,000","1,555,000,000","1,292,000,000","424,000,000"
	InterestExpenseNonOperating,"926,000,000","950,000,000","1,098,000,000","782,000,000","655,000,000","575,000,000","572,000,000","443,000,000","403,000,000","334,000,000","489,000,000","540,000,000","1,098,000,000","6,122,000,000","2,525,000,000"
OtherIncomeExpense,"4,123,000,000","4,196,000,000","2,318,000,000","2,308,000,000","4,424,000,000","2,132,000,000","2,526,000,000","3,095,000,000","2,788,000,000","1,874,000,000","-26,893,000,000","-1,268,000,000",,"128,258,000,000","-6,836,000,000"
