name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalRevenue,"36,136,423,000","36,136,423,000","16,257,933,000","7,824,904,000","4,951,171,000","0","0"
	OperatingRevenue,"36,136,423,000","36,136,423,000","16,257,933,000","7,824,904,000","4,951,171,000","0","0"
CostOfRevenue,"29,314,990,000","29,314,990,000","14,384,514,000","9,023,726,000","5,207,047,000",,"0"
GrossProfit,"6,821,433,000","6,821,433,000","1,873,419,000","-1,198,822,000","-255,876,000","0","0"
OperatingExpense,"11,317,736,000","11,317,736,000","6,481,064,000","9,880,367,000","9,339,732,000","4,953,596,000","2,602,540,000"
	SellingGeneralAndAdministration,"6,878,132,000","6,878,132,000","3,597,139,000","4,885,964,000","5,092,025,000","2,221,789,000","1,098,919,000"
		GeneralAndAdministrativeExpense,,,"2,921,997,000","4,067,911,000","3,933,506,000","1,698,254,000","859,370,000"
			SalariesAndWages,,,"1,687,945,000","2,231,698,000","2,256,455,000","929,928,000","473,302,000"
			RentAndLandingFees,,,"498,601,000","737,578,000","450,113,000","216,111,000","91,535,000"
			OtherGandA,,,"735,451,000","1,098,635,000","1,226,938,000","552,215,000","294,533,000"
		SellingAndMarketingExpense,,,"675,142,000","818,053,000","1,158,519,000","523,535,000","239,549,000"
	ResearchAndDevelopment,"4,591,852,000","4,591,852,000","2,487,770,000","4,428,580,000","3,997,942,000","2,602,889,000","1,465,353,000"
	DepreciationAmortizationDepletionIncomeStatement,,,"325,478,000","457,364,000","249,765,000","128,918,000","38,268,000"
		DepreciationAndAmortizationInIncomeStatement,,,"325,478,000","457,364,000","249,765,000","128,918,000","38,268,000"
	ProvisionForDoubtfulAccounts,,,"9,654,000","108,459,000",,,
	OtherOperatingExpenses,"-152,248,000","-152,248,000","61,023,000","108,459,000",,,
OperatingIncome,"-4,496,303,000","-4,496,303,000","-4,607,645,000","-11,079,189,000","-9,595,608,000","-4,953,596,000","-2,602,540,000"
NetNonOperatingInterestIncomeExpense,"274,423,000","274,423,000","-259,111,000","-210,257,000","9,741,000","886,000","27,501,000"
	InterestIncomeNonOperating,"911,833,000","911,833,000","166,904,000","160,279,000","133,384,000","18,970,000","27,556,000"
	InterestExpenseNonOperating,"637,410,000","637,410,000","426,015,000","370,536,000","123,643,000","18,084,000","55,000"
