name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
OperatingCashFlow,"13,851,000,000","11,497,000,000","5,943,000,000","2,405,000,000","2,097,802,000","-60,654,000","-123,829,000","-524,499,000","-57,337,000","257,994,000","-266,081,000","-114,364,000","-127,817,000","-80,825,000","-52,412,000","-53,469,000"
	CashFlowFromContinuingOperatingActivities,"13,851,000,000","11,497,000,000","5,943,000,000","2,405,000,000","2,097,802,000","-60,654,000","-123,829,000","-524,499,000","-57,337,000","257,994,000","-266,081,000","-114,364,000","-127,817,000","-80,825,000","-52,412,000","-53,469,000"
		NetIncomeFromContinuingOperations,"8,460,000,000","5,644,000,000","862,000,000","-775,000,000","-1,062,582,000","-2,240,578,000","-773,046,000","-888,663,000","-294,040,000","-74,014,000","-396,213,000","-254,411,000","-154,328,000","-55,740,000","-82,782,000","-78,157,000"
		OperatingGainsLosses,"-9,000,000","-82,000,000","231,000,000","98,000,000","159,850,000","158,079,000","5,450,000","93,488,000","12,287,000","-7,037,000","3,358,000","345,000","8,000","1,603,000","-1,245,000","2,421,000"
			GainLossOnSaleOfPPE,"74,000,000","-27,000,000","117,000,000","146,000,000","161,361,000","105,770,000","34,633,000","37,723,000","14,178,000",,"1,504,000","345,000","8,000","385,000","0","2,421,000"
			NetForeignCurrencyExchangeGainLoss,"-83,000,000","-55,000,000","114,000,000","-48,000,000","-1,511,000","52,309,000","-29,183,000","55,765,000","-1,891,000","3,655,000",,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,"-10,692,000","1,854,000",,,,,
		DepreciationAmortizationDepletion,"3,170,000,000","2,911,000,000","2,322,000,000","2,154,000,000","1,901,050,000","1,636,003,000","947,099,000","422,590,000","231,931,000","106,083,000","28,825,000","16,919,000","10,623,000","6,940,000","4,157,000","2,895,000"
			DepreciationAndAmortization,"3,170,000,000","2,911,000,000","2,322,000,000","2,154,000,000","1,901,050,000","1,636,003,000","947,099,000","422,590,000","231,931,000","106,083,000","28,825,000","16,919,000","10,623,000","6,940,000","4,157,000","2,895,000"
				Depreciation,,"2,911,000,000",,,,,,,,,,,,,,
		AssetImpairmentCharge,"124,000,000","140,000,000","202,000,000","193,000,000","85,272,000","131,665,000","65,520,000","44,940,000","15,609,000","14,476,000","4,929,000","1,828,000","951,000",,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,"2,750,000",,,,
		StockBasedCompensation,"1,925,000,000","2,121,000,000","1,734,000,000","898,000,000","749,024,000","466,760,000","334,225,000","197,999,000","156,496,000","80,737,000","50,145,000","29,419,000","21,156,000","1,434,000","437,000","198,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,"0","0","-74,000",,,
		OtherNonCashItems,"253,000,000","245,000,000","408,000,000","186,000,000","207,237,000","284,020,000","-9,216,000","98,436,000","77,205,000","12,754,000","56,000","-111,000","5,022,000","2,481,000","6,492,000","-36,000"
		ChangeInWorkingCapital,"-72,000,000","518,000,000","184,000,000","-349,000,000","57,951,000","-496,603,000","-693,861,000","-493,289,000","-256,825,000","124,995,000","42,819,000","88,897,000","-11,175,000","-37,543,000","20,529,000","19,210,000"
			ChangeInReceivables,"-515,000,000","-130,000,000","-652,000,000","-367,000,000","-496,732,000","-24,635,000","-216,565,000","46,267,000","-183,658,000","-21,917,000","-17,303,000","-2,829,000","-3,222,000","-168,000","-3,261,000","-59,000"
				ChangesInAccountReceivables,"-515,000,000","-130,000,000","-652,000,000","-367,000,000","-496,732,000","-24,635,000","-216,565,000","46,267,000","-183,658,000","-21,917,000","-17,303,000","-2,829,000","-3,222,000","-168,000","-3,261,000","-59,000"
			ChangeInInventory,"-2,236,000,000","-1,709,000,000","-422,000,000","-429,000,000","-1,023,264,000","-178,850,000","-2,465,703,000","-1,573,860,000","-1,050,264,000","-463,270,000","-194,726,000","-13,638,000","-20,115,000","-7,925,000","-14,542,000","-2,108,000"
			ChangeInPrepaidAssets,"-417,000,000","-271,000,000","-251,000,000","-288,000,000","-82,125,000","-72,084,000","56,806,000","-29,595,000","-60,637,000","-17,466,000","1,121,000","-248,000","-4,977,000","-2,042,000","750,000","-1,884,000"
			ChangeInPayablesAndAccruedExpense,"4,903,000,000","4,578,000,000","2,102,000,000","682,000,000","1,722,850,000","388,206,000","750,640,000","263,345,000","414,856,000","66,324,000","197,424,000","44,180,000","13,133,000","4,289,000","11,448,000","8,095,000"
				ChangeInPayable,,,,,,,,,"252,781,000","-243,000","187,821,000","31,859,000","-212,000","902,000","8,815,000","523,000"
					ChangeInAccountPayable,,,,,,,,,"252,781,000","-243,000","187,821,000","31,859,000","-212,000","902,000","8,815,000","523,000"
				ChangeInAccruedExpense,,,,,,,,,"162,075,000","66,567,000","9,603,000","12,321,000","13,345,000","3,387,000","2,633,000","7,572,000"
			ChangeInOtherCurrentAssets,"-3,884,000,000","-3,405,000,000","-1,416,000,000","-649,000,000","-214,747,000","-1,522,573,000","-52,821,000","-24,362,000","-4,493,000","-342,000","-482,000",,,,,
			ChangeInOtherCurrentLiabilities,"767,000,000","476,000,000","495,000,000","-41,000,000","49,402,000","289,857,000","458,991,000","465,992,000","311,460,000","269,270,000","10,255,000",,,"-31,988,000","20,857,000","15,230,000"
			ChangeInOtherWorkingCapital,"1,310,000,000","979,000,000","328,000,000","743,000,000","102,567,000","623,476,000","774,791,000","358,924,000","315,911,000","292,396,000","46,530,000","61,432,000","4,006,000","291,000","5,277,000","-64,000"
InvestingCashFlow,"-7,453,000,000","-7,868,000,000","-3,132,000,000","-1,436,000,000","-2,337,428,000","-4,418,967,000","-1,416,430,000","-1,673,551,000","-990,444,000","-249,417,000","-206,930,000","-175,928,000","-180,297,000","-14,244,000","-10,590,000","-9,762,000"
	CashFlowFromContinuingInvestingActivities,"-7,453,000,000","-7,868,000,000","-3,132,000,000","-1,436,000,000","-2,337,428,000","-4,418,967,000","-1,416,430,000","-1,673,551,000","-990,444,000","-249,417,000","-206,930,000","-175,928,000","-180,297,000","-14,244,000","-10,590,000","-9,762,000"
		CapitalExpenditureReported,,,,"-1,327,000,000","-2,100,724,000","-3,414,814,000","-1,280,802,000",,,,,,,,,
		NetPPEPurchaseAndSale,"-6,926,000,000","-6,514,000,000","-3,232,000,000","-1,432,000,000","-2,319,516,000","-4,081,354,000","-1,440,471,000","-1,634,850,000","-969,885,000","-264,224,000","-239,228,000","-197,896,000","-40,203,000","-11,884,000","-9,630,000","-9,802,000"
			PurchaseOfPPE,"-6,926,000,000","-6,514,000,000","-3,232,000,000","-1,432,000,000","-2,319,516,000","-4,081,354,000","-1,440,471,000","-1,634,850,000","-969,885,000","-264,224,000","-239,228,000","-197,896,000","-40,203,000","-11,884,000","-9,630,000","-9,802,000"
		NetIntangiblesPurchaseAndSale,"-9,000,000","-1,228,000,000","-10,000,000","-5,000,000",,,,,,,,,,,,
			PurchaseOfIntangibles,"-9,000,000","-1,500,000,000","-10,000,000","-5,000,000",,,,,,,,,,,,
			SaleOfIntangibles,"0","272,000,000",,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,"0","-13,000,000","-45,000,000","-17,912,000","-114,523,000","213,523,000","-12,260,000",,,,,,,,
			PurchaseOfBusiness,,"0","-13,000,000","-45,000,000","-17,912,000","-114,523,000",,"-12,260,000",,,,,,,,
		NetInvestmentPurchaseAndSale,"-518,000,000","-132,000,000",,,"0","0","16,667,000","0","-16,710,000","0","25,008,000","-24,952,000",,,,
